  
Date	Temp	pH	pH2	Amp_3	Amp_4	Amp_5	pHx6	Tmpx6	pHx7	Tmpx7	pHx8	Tmpx8	pHx9	Tmpx9	pHx10	Tmpx10	pHx11	Tmpx11	pHx12	Tmpx12	pHx13	Tmpx13	pHx14	Tmpx14	pHx15	Tmpx15	pHx16	Tmpx16	pHx17	Tmpx17	pHx19	Tmpx19	pHx20	Tmpx20	pHx21	Tmpx21
10:20 05/13/2017	-6.2	4.12	5.99	0.8	2.5	3.7	4.44	24.8	8.01	26.0	5.39	24.7	4.59	26.1	6.33	26.1	2.67	26.1	5.23	26.1	6.61	28.3	5.23	40.7	2.15	26.3	6.56	26.1	6.23	26.2	5.82	26.4	6.11	25.8	6.79	26.0
10:30 05/13/2017	-6.2	4.11	5.99	0.7	2.3	2.7	4.44	24.8	8.01	26.0	5.39	24.7	4.59	26.1	6.33	26.1	2.66	26.1	5.23	26.1	6.61	28.3	5.23	40.7	2.15	26.3	6.56	26.0	6.23	26.2	5.82	26.4	6.11	25.8	6.78	26.0
10:40 05/13/2017	-6.2	4.10	5.99	0.8	2.5	3.6	4.44	24.8	8.01	26.0	5.39	24.7	4.59	26.1	6.33	26.1	2.66	26.1	5.23	26.1	6.61	28.3	5.23	40.6	2.15	26.3	6.56	26.0	6.23	26.1	5.82	26.3	6.11	25.8	6.78	26.0
10:50 05/13/2017	-6.2	4.10	5.99	0.8	2.1	4.0	4.44	24.8	8.00	26.0	5.39	24.7	4.59	26.1	6.33	26.1	2.66	26.1	5.23	26.1	6.61	28.3	5.23	40.6	2.15	26.3	6.55	26.0	6.23	26.1	5.82	26.2	6.12	25.8	6.78	26.0
11:00 05/13/2017	-6.2	4.09	5.99	0.8	2.3	4.0	4.44	24.8	8.00	26.0	5.39	24.7	4.59	26.1	6.33	26.1	2.66	26.1	5.23	26.1	6.61	28.3	5.22	40.4	2.15	26.3	6.55	26.2	6.23	26.5	5.82	26.4	6.12	25.8	6.78	26.0
11:10 05/13/2017	-6.2	4.09	5.99	0.7	2.4	4.2	4.44	24.8	8.00	26.1	5.39	24.7	4.58	26.1	6.33	26.1	2.66	26.2	5.23	26.1	6.60	28.3	5.22	41.5	2.15	26.3	6.55	26.4	6.23	26.8	5.81	26.6	6.12	25.8	6.78	26.0
11:20 05/13/2017	-6.2	4.09	5.99	0.8	2.1	4.0	4.43	24.8	8.00	26.1	5.39	24.7	4.58	26.1	6.33	26.1	2.66	26.2	5.23	26.1	6.60	28.3	5.22	40.9	2.15	26.3	6.55	26.6	6.22	27.1	5.81	26.8	6.12	25.8	6.77	26.0
11:30 05/13/2017	-6.2	4.08	5.99	0.9	2.5	4.2	4.43	24.9	8.00	26.1	5.38	24.8	4.58	26.1	6.33	26.1	2.66	26.2	5.23	26.1	6.60	28.3	5.22	42.1	2.15	26.3	6.55	26.7	6.22	27.1	5.81	26.8	6.12	25.8	6.77	26.0
11:40 05/13/2017	-6.2	4.08	5.99	0.8	2.4	4.1	4.43	24.9	7.99	26.1	5.38	24.8	4.58	26.1	6.33	26.1	2.66	26.2	5.23	26.1	6.60	28.3	5.21	40.8	2.15	26.3	6.55	26.6	6.22	27.0	5.81	26.8	6.12	25.8	6.77	26.0
11:50 05/13/2017	-6.2	4.07	5.99	0.8	2.2	4.1	4.43	24.8	7.99	26.2	5.38	24.9	4.58	26.1	6.33	26.1	2.66	26.2	5.23	26.1	6.60	28.3	5.21	41.2	2.15	26.3	6.55	26.6	6.22	26.9	5.81	26.8	6.12	25.8	6.77	26.0
